ISS	Instituto Superiore di Sanita			Rome	Italy	Instituto Superiore di Sanita, Rome, Italy
ISU	Department of Entomology	Insect Collection	Iowa State University	Ames	United States	Department of Entomology, Insect Collection, Iowa State University, Ames, United States
ISZP	Institute of Systematics and Evolution of Animals		Polish Academy of Sciences	Krakow	Poland	Institute of Systematics and Evolution of Animals, Krakow, Poland
ITBC	Institute for Tropical Biology and Conservation		Universiti Malaysia Sabah	Kota Kinabalu	Malaysia	Institute for Tropical Biology and Conservation, Kota Kinabalu, Malaysia
ITHGP	Laboratorium voor Tropische Hygiene		Koninklijk Instituut voor de Tropen	Amsterdam	Netherlands	Laboratorium voor Tropische Hygiene, Amsterdam, Netherlands
ITLJ	National Institute of Agro-Environmental Sciences			Tsukuba	Japan	National Institute of Agro-Environmental Sciences, Tsukuba, Japan
IZAA	Institute of Zoology		Kazakhstan National Academy of Science	Almaty	Kazakhstan	Institute of Zoology, Almaty, Kazakhstan
IZAC	Instituto de Ciencia Animal		Academia de Ciencias de Cuba	La Habana	Cuba	Instituto de Ciencia Animal, La Habana, Cuba
IZAM	Instituto de Zoologia Agricola	Facultad de Agronomia	Universidad Central de Venezuela	Maracay	Venezuela	Instituto de Zoologia Agricola, Facultad de Agronomia, Universidad Central de Venezuela, Maracay, Venezuela
IZAS	Institute of Zoology	Insect Collection	Academia Sinica	Beijing 	China	Institute of Zoology, Insect Collection, Academia Sinica, Beijing, China
IZSU	Institute of Zoology		Shaanxi Normal University	Xi'an	China	Institute of Zoology, Xi'an, China
IZT	Institute of Zoology		Academia Sinica	Taipei	Taiwan	Institute of Zoology, Taipei, Taiwan
IZTG	Institute of Zoology	Faculty of Biology	Tbilisi State University	Tbilisi	Georgia	Institute of Zoology, Faculty of Biology, Tbilisi State University, Tbilisi, Georgia
IZUI	Institut fur Zoologie und Limnologie		Universitat Innsbruck	Innsbruck	Austria	Institut fur Zoologie und Limnologie, Innsbruck, Austria
IZUSN	Instituto di Zoologia		Universita degli Studi di Napoli	Portici	Italy	Instituto di Zoologia, Portici, Italy
JAAS	Jiangsu Academy of Agricultural Sciences			Nanjing	China	Jiangsu Academy of Agricultural Sciences, Nanjing, China
KMC	Biology Department		Kweiyang Medical College	Kweiyang	China	Biology Department, Kweiyang, China
KPU	Kyoto Prefectural University			Shimogamo	Japan	Kyoto Prefectural University, Shimogamo, Japan
KSU	Department of Entomology	Entomological Collection	Kansas State University	Manhattan	United States	Department of Entomology, Entomological Collection, Kansas State University, Manhattan, United States
KU	Entomological Laboratory	Faculty of Agriculture	Kyushu University	Fukuoka	Japan	Entomological Laboratory, Faculty of Agriculture, Kyushu University, Fukuoka, Japan
KUB	Department of Entomology	Faculty of Agriculture	Kasetsart University Bangkhen Campus	Bangkok	Thailand	Department of Entomology, Faculty of Agriculture, Kasetsart University Bangkhen Campus, Bangkok, Thailand
KUIC	Entomology Laboratory	Faculty of Agriculture	Kagoshima University	Kagoshima	Japan	Entomology Laboratory, Faculty of Agriculture, Kagoshima University, Kagoshima, Japan
KUN	Department of Zoology 		Kumaon University	Nainital	India	Department of Zoology, Nainital, India
KUTK	Department of Agricultural Biology	Systematic Entomology Laboratory	Kyungpook National University	Taegu	South Korea	Department of Agricultural Biology, Systematic Entomology Laboratory, Kyungpook National University, Taegu, South Korea
LACM	Natural History Museum of Los Angeles County 			Los Angeles	United States	Natural History Museum of Los Angeles County, Los Angeles, United States
LCM	Leeds City Museum			Leeds	United Kingdom	Leeds City Museum, Leeds, United Kingdom
