"617cb541-33a5-43ee-85fa-01823c1f1007",,"Cherokee","Cherokee","chr",,"chr"
"e1997c20-90c7-4b7a-a7c3-b75f9cff6aeb",,"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","chu","cu","chu"
"514ab40c-1fa9-44ba-8af0-f432a20305fe",,"Chuvash","Chuvash","chv","cv","chv"
"0a3dc1c3-cade-473d-ac58-2777fc31078d",,"Cheyenne","Cheyenne","chy",,"chy"
"076909b8-88f0-4341-921a-380a9f24c63b",,"Chamic languages","Chamic languages","cmc",,"cmc"
"af13a51b-3d91-4978-80db-985e4f9aefdd",,"Coptic","Coptic","cop",,"cop"
"110474af-7886-4a36-9299-73871ce14efa",,"Cornish","Cornish","cor","kw","cor"
"2f57ca56-69fe-4713-88d2-2d0d3744bf81",,"Corsican","Corsican","cos","co","cos"
"c2412f89-94ec-4cec-b75b-218d6202138e",,"Creoles and pidgins, English based (Other)","Creoles and pidgins, English based (Other)","cpe",,"cpe"
"ee8e984e-03d5-4aa7-aa52-95b014b2c7a2",,"Creoles and pidgins, French-based (Other)","Creoles and pidgins, French-based (Other)","cpf",,"cpf"
"35a5f90e-ea2d-4bf4-8a09-7b00a35b61bb",,"Creoles and pidgins, Portuguese-based (Other)","Creoles and pidgins, Portuguese-based (Other)","cpp",,"cpp"
"7f822594-8e97-456b-8e47-a421f557f222",,"Cree","Cree","cre","cr","cre"
"6574b007-bc42-4ee2-9051-de3d2655578f",,"Crimean Tatar; Crimean Turkish","Crimean Tatar; Crimean Turkish","crh",,"crh"
"296a223d-1705-4504-aff2-8cbc56ee9187",,"Creoles and pidgins (Other)","Creoles and pidgins (Other)","crp",,"crp"
"82c34ba6-a4ff-448b-a195-f56b31d6d824",,"Kashubian","Kashubian","csb",,"csb"
"875dd186-fdfa-4b1e-af26-d03e736a8757",,"Cushitic (Other)","Cushitic (Other)","cus",,"cus"
"ba95f29b-f11c-4d79-9973-6de75087c7b3",,"Czech","Czech","cze","cs","cze"
"36f105eb-466b-45e9-a182-3887736d5f86",,"Dakota","Dakota","dak",,"dak"
"45e52b16-61b0-4b86-92ba-7f290dbb39b3",,"Danish","Danish","dan","da","dan"
"93c45f3f-4bf9-4732-a1fe-da32d28cd4a2",,"Dargwa","Dargwa","dar",,"dar"
"f86fb9c0-2557-4457-8c5f-85629361dfaa",,"Land Dayak languages","Land Dayak languages","day",,"day"
"4c8f21cf-b84b-4ce2-a1e5-755e6c9762a7",,"Delaware","Delaware","del",,"del"
"e2769990-9f04-45fc-974b-ef4d8f77ec86",,"Slave (Athapascan)","Slave (Athapascan)","den",,"den"
"6a32c3a0-11b7-450c-8da6-f06ed18d17d3",,"Dogrib","Dogrib","dgr",,"dgr"
"40704577-d65a-46de-8393-5aabc9a510e1",,"Dinka","Dinka","din",,"din"
"fb78fb2e-2c98-461c-9b7c-9cc08f85a221",,"Divehi; Dhivehi; Maldivian","Divehi; Dhivehi; Maldivian","div","dv","div"
"39c5ae60-ace7-4525-a85b-47edb11f5de6",,"Dogri","Dogri","doi",,"doi"
"3ffb59ff-d558-48f5-bec1-03fee76737f7",,"Dravidian (Other)","Dravidian (Other)","dra",,"dra"
"f6dfb41f-c6c1-4d21-a51c-0fbd7cee2dff",,"Lower Sorbian","Lower Sorbian","dsb",,"dsb"
"bbfffd3e-eada-4c2d-8824-b426cdd82ee6",,"Duala","Duala","dua",,"dua"
"2b53c222-7752-4943-a366-35b9818f794c",,"Dutch, Middle (ca.1050-1350)","Dutch, Middle (ca.1050-1350)","dum",,"dum"
"9965d79a-acf9-4921-a2c0-863b8c16c056",,"Dutch; Flemish","Dutch; Flemish","dut","nl","dut"
"ac6431db-b89f-445e-8b4c-c9835142bce7",,"Dyula","Dyula","dyu",,"dyu"
"b049c1c1-ddb5-48f3-ad7a-c6aeb1cb1432",,"Dzongkha","Dzongkha","dzo","dz","dzo"
"627d5b24-121d-4d97-b531-d4ff26ea9f54",,"Efik","Efik","efi",,"efi"
"0901686b-fcab-45df-ae09-b8bf86d64ce6",,"Egyptian (Ancient)","Egyptian (Ancient)","egy",,"egy"
"67f01415-52d8-4a86-86eb-484fdb0606b8",,"Ekajuk","Ekajuk","eka",,"eka"
"4fed61b5-fef3-4e4c-8a45-360645a3b504",,"Elamite","Elamite","elx",,"elx"
"a3a2fc60-9f74-45e0-a97a-6737576071ef",,"English, Middle (1100-1500)","English, Middle (1100-1500)","enm",,"enm"
"38060cd9-8d47-4a61-bf33-333583c8fef1",,"Esperanto","Esperanto","epo","eo","epo"
"4fb12988-754d-430e-9840-561a258bb3e9",,"Estonian","Estonian","est","et","est"
"b11d3bd9-daab-4399-b289-e6f0e2a0ec29",,"Ewe","Ewe","ewe","ee","ewe"
"18f56fec-fa36-4317-853b-0b574df05efc",,"Ewondo","Ewondo","ewo",,"ewo"
"fefaa178-65ff-4add-bddf-c89be78fa5a8",,"Fang","Fang","fan",,"fan"
"64e01a12-06d5-44a4-8a83-52c7762e3d92",,"Faroese","Faroese","fao","fo","fao"
"5f2f0f6e-82ff-4c67-918a-a433ecaa2f04",,"Fanti","Fanti","fat",,"fat"
"6355af54-4be2-40a3-a417-83921fb70dc7",,"Fijian","Fijian","fij","fj","fij"
"c82767ce-1623-4e86-a999-3f9baff8ace4",,"Filipino; Pilipino","Filipino; Pilipino","fil",,"fil"
"4606abdf-6dbe-4bfe-b3da-a1fa08f2f1e2",,"Finnish","Finnish","fin","fi","fin"
"e4fd3d5d-7715-4736-b4db-73ac8b129ddf",,"Finno-Ugrian (Other)","Finno-Ugrian (Other)","fiu",,"fiu"
"61cb4280-42d1-4fa0-92bf-fe7cf02c66d3",,"Fon","Fon","fon",,"fon"
"7759a1d8-a5ea-454a-8c93-1dcfaae8cc21",,"French","French","fre","fr","fre"
"bc2b8d06-94f8-4ddb-a4ad-769105868b73",,"French, Middle (ca.1400-1600)","French, Middle (ca.1400-1600)","frm",,"frm"
"27bd4b8b-07d0-425c-a843-61588c140f68",,"French, Old (842-ca.1400)","French, Old (842-ca.1400)","fro",,"fro"
"f5977654-d71b-4ff1-96cb-d2130e978aef",,"Northern Frisian","Northern Frisian","frr",,"frr"
"0beb31ca-2479-47c7-b557-bd44dc620f16",,"Eastern Frisian","Eastern Frisian","frs",,"frs"
"1b171828-16da-45ea-bfd9-5bf236481920",,"Western Frisian","Western Frisian","fry","fy","fry"
"0c27960e-1ba6-4b56-8429-c44334251653",,"Fulah","Fulah","ful","ff","ful"
"65cb508a-c974-4417-8509-f199c0e074b9",,"Friulian","Friulian","fur",,"fur"
"0ddc00b2-b3ef-4074-a2c7-4b969dcd8e8e",,"Ga","Ga","gaa",,"gaa"
"984b3d84-61f2-455a-9924-15f86f89dfb1",,"Gayo","Gayo","gay",,"gay"
"f8fb14ee-eb4e-49fa-b439-ed5deac59daa",,"Gbaya","Gbaya","gba",,"gba"
"d32011e1-faf8-4310-80b1-a79476a8cecc",,"Germanic (Other)","Germanic (Other)","gem",,"gem"
"fb64b07c-c079-4fda-a803-212a0beca61b",,"Georgian","Georgian","geo","ka","geo"
"d1131746-e58b-4e80-a865-f5182c9c3073",,"German","German","ger","de","ger"
"f42c6f52-1a3c-4965-8dfa-2c828463741c",,"Geez","Geez","gez",,"gez"
"b20fa600-5b9b-4714-8dcd-51275a6e1ab0",,"Gilbertese","Gilbertese","gil",,"gil"
"b5d99800-b40b-4e3d-ada9-610475ffa68b",,"Gaelic; Scottish Gaelic","Gaelic; Scottish Gaelic","gla","gd","gla"
"11659dd0-9feb-447d-8144-c4c18f834450",,"Irish","Irish","gle","ga","gle"
"a29e944f-162f-46c1-bea9-3e472c5d5b48",,"Galician","Galician","glg","gl","glg"
"a27c3cb8-8913-45f9-99a3-f3770a258f70",,"Manx","Manx","glv","gv","glv"
"d37af6b4-3740-4190-800c-0e28bb0c10bf",,"German, Middle High (ca.1050-1500)","German, Middle High (ca.1050-1500)","gmh",,"gmh"
"088a4d6a-e048-4299-be2c-15425b2827cf",,"German, Old High (ca.750-1050)","German, Old High (ca.750-1050)","goh",,"goh"
"49cb27e4-bd94-422e-9a9a-26b5b05371d7",,"Gondi","Gondi","gon",,"gon"
"a50a5d26-8786-4549-99c1-b4280fd713a1",,"Gorontalo","Gorontalo","gor",,"gor"
"64ebceaa-4aa8-48a2-ae9a-95c862c37a50",,"Gothic","Gothic","got",,"got"
"6503a6bb-497c-4712-b18d-38c8898c3b77",,"Grebo","Grebo","grb",,"grb"
