"006b1870-7347-4624-990f-e5ed78484a1a","Country","
"264c71d7-91ef-4a5e-9ae6-49aac2a6ba3a","Guam","Guam","Guam","GUM"
"9cbe3428-0cfe-420e-a88e-eac196a16a37","Guyana","Guyana","Guyana","GUY"
"5aa1c98c-9efd-443f-9c10-708f175d5cea","Hong Kong","Hong Kong","Hong Kong","HKG"
"646a16d4-4a1f-47a0-a475-a19c605e04e0","Heard Island and McDonald Islands","Islas Heard y McDonald","Heard (Isla) e Islas McDonald","HMD"
"c6684b89-3ea6-4922-9148-d74ff3ee33fd","Honduras","Honduras","Honduras","HND"
"a3acb45e-39ec-476b-bff2-7ff7e0383f7e","Croatia","Croacia","Croacia","HRV"
"f1071b42-0247-4c4d-92a5-8bdf18099c50","Haiti","Haití","Haití","HTI"
"4d8b56d0-ab74-437f-98e0-3b88ebaa8c89","Hungary","Hungría","Hungría","HUN"
"96eb663a-61b1-4a44-9017-0c4b1ea024d6","Indonesia","Indonesia","Indonesia","IDN"
"c726cf14-b9d2-4d72-8767-862b33be9e49","Isle of Man","Isla de Man","Isla de Man","IMN"
"a0b872f9-fc04-440d-ace3-edce8ea75e0b","India","India","India","IND"
"996f912c-971f-40cb-88a4-1575226415b9","British Indian Ocean Territory","Territorio Británico del Océano Índico","Territorio Británico del Océano Índico (el)","IOT"
"376f61f8-6234-4e61-bc5e-d0d76393cfa0","Ireland","Irlanda","Irlanda","IRL"
"14f148e0-a9cf-428d-a244-a9917aae974d","Iran","Irán","Irán (República Islámica de)","IRN"
"daf3de07-b1b8-47fa-8207-7e237ea30b7f","Iraq","Irak","Iraq","IRQ"
"c7bf91f8-024c-4c04-9c0b-856a27b2d0ca","Iceland","Islandia","Islandia","ISL"
"4c61dc3f-978d-4df9-9bd9-65089ee01dae","Israel","Israel","Israel","ISR"
"9404a588-503b-4033-acf5-ee4a47337ed0","Italy","Italia","Italia","ITA"
"528bede6-26db-47e6-b6cb-32f77ab5fef7","Jamaica","Jamaica","Jamaica","JAM"
"ccfd99b1-aabc-42ef-b0f6-36c83eb9eb05","Jersey","Jersey","Jersey","JEY"
"533b9709-1f97-43e6-8e12-68e116675c64","Jordan","Jordania","Jordania","JOR"
"a8be059a-6f1a-45aa-8019-f6bc3b81c691","Japan","Japón","Japón","JPN"
"3047567d-997d-491a-b0bc-d4b287f76fab","Kazakhstan","Kazajistán","Kazajistán","KAZ"
"9410b793-43fa-4205-bd24-5f92d392667f","Kenya","Kenia","Kenia","KEN"
"fc3cb838-98f0-46b4-a5fe-5efafc121e95","Kyrgyzstan","Kirguistán","Kirguistán","KGZ"
"485a4988-a3dd-43b8-9c18-e0351618056a","Cambodia","Camboya","Camboya","KHM"
"d46f42ec-a520-49d8-ac87-cc8bccc91516","Kiribati","Kiribati","Kiribati","KIR"
"777d19e2-d5e8-48e2-9a0f-cd95097e4e75","St. Kitts and Nevis","San Cristóbal y Nieves","San Cristóbal y Nieves","KNA"
